Id,Name,Popularity,Followers,Genres
5QWt56OIzFSPRpD7VeRkbc,AXMO,60,6088,deep big room
7rEAvtkj6sNUlQXlYRldrs,SONJA,51,720,
49CE2ffZ6Z3zeYSDauSKck,Tungevaag,72,125386,"big room, dance pop, edm, electro house, nordic house, pop dance, tropical house"
6KZDXtSj0SzGOV705nNeh3,Kid Ink,74,2778373,"dance pop, hip hop, pop rap, rap, southern hip hop, trap"
5QySqc6yAFDx9m7fedFZmC,Brennan Heart,67,264091,"classic hardstyle, euphoric hardstyle, rawstyle"
20gsENnposVs2I4rQ5kvrf,Sam Feldt,78,671376,"dance pop, edm, electro house, pop, pop dance, pop edm, tropical house"
6L1XC7NrmgWRlwAeLJvVtA,Sam Fischer,73,152824,"alt z, australian pop, dance pop, pop, tropical house, uk pop"
2ZRQcIgzPCVaT9XKhXZIzh,Gryffin,75,777053,"dance pop, edm, electro house, pop, pop dance, tropical house"
5yhR0OqJhkbQ2y76XUte3R,Kyle Reynolds,59,7313,
7yPPzu5UdAK7yagQqjEZQm,Party Favor,61,159701,"bass trap, edm, electro house, electronic trap, pop dance"
24neLwyYRyj4ItaGnFeIT0,JOYRYDE,56,183280,"edm, electro house, electronic trap"
0Y4inQK6OespitzD6ijMwb,Freddie Gibbs,73,902274,"alternative hip hop, hip hop, indiana hip hop, rap, southern hip hop, trap, underground hip hop"
7b04D0yLktCUpvxQBhmG7R,LEISURE,62,132184,"auckland indie, indie soul, vapor soul"
